sample_pair,feature,type,assigned_value,u_char,u_homo,u_lts,u_c,u_k,platform
F/P,Q96QU6,informative,0.885,0.009,NA,NA,0.009,0.017,SomaScan
M/P,O43541,informative,1.027,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q9BYV6,informative,1.005,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q9NPH0,informative,0.957,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q15973,informative,0.961,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P20941,informative,1.024,0.009,NA,NA,0.009,0.017,SomaScan
X/P,O15393,informative,0.992,0.009,NA,NA,0.009,0.017,SomaScan
X/P,O43866,informative,0.950,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q96AQ6,informative,1.084,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q9UKZ1,informative,0.984,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q9NP99,informative,0.993,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q6UWM7,informative,0.967,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q9H3P2,informative,0.895,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q53GS9,informative,0.931,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q9NP50,informative,0.994,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q8WVJ2,informative,1.028,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q9H9S5,informative,1.020,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q9P2F6,informative,1.003,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q9Y6Q2,informative,0.996,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q53HV7,informative,0.976,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q96IT1,informative,1.045,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q9C0E8,informative,1.025,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q9NZB2,informative,1.015,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P15515,informative,0.931,0.009,NA,NA,0.009,0.017,SomaScan
M/P,O15266,informative,0.970,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,O95163,informative,1.011,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q14141,informative,1.008,0.009,NA,NA,0.009,0.017,SomaScan
X/P,O75417,informative,1.132,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q8WTR2,informative,1.039,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P59103,informative,1.009,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P08236,informative,0.926,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P30990,informative,0.976,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q7Z5B4,informative,0.953,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q92765,informative,0.969,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q9HA47,informative,1.029,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q70EK8,informative,0.977,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q13642,informative,1.062,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P24588,certified,0.858,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,O76054,informative,1.014,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q8WTX7,informative,0.985,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q96AX2,certified,0.931,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q53H76,informative,1.039,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P28845,informative,0.988,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P01344,informative,0.915,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P56277,informative,0.993,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q8WXH0,informative,1.080,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P51570,informative,1.092,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q8N4X5,informative,1.076,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q96RL6,informative,1.053,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q92520,informative,1.015,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P80370,informative,1.045,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,P01036,informative,0.981,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q99593,informative,0.989,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q7Z5K2,informative,1.005,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q6NZI2,informative,1.008,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q13489,informative,1.002,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P55075,informative,0.985,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P28906,informative,1.010,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q1RMZ1,informative,0.981,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q6UB28,informative,1.010,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q9H6F2,informative,0.943,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P05108,informative,0.983,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q9Y2X8,informative,0.922,0.009,NA,NA,0.009,0.017,SomaScan
X/P,O60304,informative,1.035,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P27348,informative,0.998,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,P80370,informative,0.971,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q9BV90,informative,0.909,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P41134,informative,1.033,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q15025,certified,1.068,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q9NR97,informative,0.942,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q6ZN04,informative,0.982,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q01085,informative,1.006,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,O43405,informative,1.001,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q53GS9,informative,1.141,0.009,NA,NA,0.009,0.017,SomaScan
M/P,O95235,certified,1.096,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P51161,informative,0.959,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q13561,informative,0.907,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P52799,informative,0.997,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q8NBM8,informative,0.957,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q7Z7H5,informative,0.993,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q9P2R7,informative,1.013,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q15427,certified,0.714,0.009,NA,NA,0.009,0.017,SomaScan
X/P,O75340,informative,0.990,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q5T0B9,informative,1.032,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P13686,informative,0.899,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q96LA8,informative,0.989,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P33151,informative,1.011,0.009,NA,NA,0.009,0.017,SomaScan
M/P,O75828,informative,1.063,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q06033,informative,1.127,0.009,NA,NA,0.009,0.017,Olink
X/P,Q8WVJ2,informative,0.968,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q9NZV6,informative,1.001,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,P29144,informative,1.021,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q12982,informative,1.016,0.009,NA,NA,0.009,0.017,SomaScan
F/P,O95229,certified,0.867,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q9BRP8,informative,0.972,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P22061,informative,0.991,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q92843,informative,1.017,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q9NWZ3,informative,0.922,0.009,NA,NA,0.009,0.017,SomaScan
F/P,O95236,informative,0.990,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q01973,informative,1.027,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q13905,informative,1.006,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P35916,informative,0.969,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q9Y2S7,informative,0.989,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,P28039,informative,0.942,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q96LA6,informative,0.995,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P13716,informative,0.967,0.009,NA,NA,0.009,0.017,SomaScan
F/P,O00299,informative,0.987,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q9H293,informative,1.003,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q9NRK6,informative,0.947,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P01374,informative,0.979,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,P52895,informative,0.960,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q5VWW1,informative,1.103,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,P49354,informative,1.028,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P43631,informative,0.964,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q8IUL8,informative,0.962,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q9BXS0,informative,1.012,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q5TGZ0,informative,1.009,0.009,NA,NA,0.009,0.017,SomaScan
F/P,O00587,informative,1.007,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P37840,informative,1.006,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q8WWY7,certified,1.112,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q96KX1,informative,1.016,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q9UJQ4,informative,0.993,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q9UK59,informative,1.005,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,P13631,informative,0.985,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q9Y275,informative,0.976,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P0CV99,informative,1.009,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P33261,certified,0.787,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q9H0P0,informative,0.997,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P49327,informative,0.970,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q9H741,informative,1.025,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q96MM7,informative,1.005,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P03952,informative,1.019,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P30046,informative,0.972,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q92563,informative,1.002,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q8IUE1,informative,0.962,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q9BSB4,informative,0.950,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,P61812,informative,0.987,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q2TAL8,informative,0.972,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q969E3,informative,0.971,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P62942,informative,0.957,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q86Y22,informative,1.005,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P61106,informative,0.924,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q53RY4,informative,0.994,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q8TDY4,informative,1.001,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q13424,informative,1.045,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q9UNK0,informative,1.023,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q96IL0,informative,1.020,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q9HC36,informative,1.009,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P41231,informative,0.996,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q5SRE7,certified,1.150,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q9BZG1,informative,0.954,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q9UMY4,informative,1.025,0.009,NA,NA,0.009,0.017,SomaScan
F/P,O00170,informative,0.980,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q92688,informative,1.029,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q9UK22,informative,0.983,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P08865,informative,0.977,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q96BW9,informative,1.035,0.009,NA,NA,0.009,0.017,SomaScan
F/P,O60741,informative,0.969,0.009,NA,NA,0.009,0.017,SomaScan
F/P,O15066,informative,0.996,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q6QNK2,informative,0.971,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q9HAU4,informative,0.965,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,O75197,informative,1.029,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,P09228,informative,0.987,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q9Y3R4,informative,1.018,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q8N6L7,informative,1.008,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q6NUS6,informative,0.991,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P51687,informative,1.021,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q96A57,informative,0.986,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P55265,informative,0.992,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q96PT3,certified,0.829,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q92630,informative,1.010,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q8N4S9,certified,0.559,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q9HBI1,informative,0.964,0.009,NA,NA,0.009,0.017,SomaScan
M/P,O00291,certified,0.885,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q9Y5R2,informative,1.077,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q9BU20,certified,0.827,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q08043,informative,1.002,0.009,NA,NA,0.009,0.017,SomaScan
X/P,O14757,informative,0.984,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P12018,informative,0.979,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q16553,informative,1.046,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P54252,informative,1.081,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q15596,informative,1.011,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P53990,informative,0.996,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P60022,informative,1.013,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P13631,informative,0.994,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q8WU20,informative,1.018,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q9C0E8,informative,1.004,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q9UJQ1,informative,0.976,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q9BQF6,informative,0.974,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q11201,informative,0.990,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,P63302,informative,1.026,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q30KQ9,informative,1.014,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q9UJ70,informative,1.007,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q9BSG0,informative,1.055,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P30566,informative,0.983,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P21926,informative,0.983,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q8WWL2,informative,1.044,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q8NBJ5,informative,1.022,0.009,NA,NA,0.009,0.017,SomaScan
F/P,O15347,informative,1.048,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q8IYF3,informative,0.982,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q8ND94,informative,0.890,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q6ZTZ1,informative,0.968,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P26436,informative,0.997,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P30532,informative,1.007,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,O60921,informative,0.956,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q8N6P7,informative,1.027,0.009,NA,NA,0.009,0.017,SomaScan
X/P,O95997,certified,1.196,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q92830,informative,0.992,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q96JN8,informative,1.011,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q96NL0,informative,1.009,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q68CL5,informative,0.952,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q8IWP9,informative,0.994,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q9ULZ3,informative,1.027,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q9H3T3,informative,0.997,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q15170,informative,0.984,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P62341,informative,0.942,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q13253,informative,1.034,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q86UY8,certified,0.927,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q5RI15,informative,0.995,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q9BXP5,certified,0.849,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q5H8C1,informative,0.956,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P53007,informative,0.953,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q04828,informative,1.034,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q27J81,informative,1.049,0.009,NA,NA,0.009,0.017,SomaScan
X/P,O75094,informative,1.041,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,B2RBV5,informative,1.061,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q96A44,informative,1.017,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q8N5Z5,informative,0.948,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q92692,informative,1.033,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P01569,informative,1.078,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P18627,informative,0.992,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q8N7X4,informative,1.014,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P07947,certified,0.915,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q6AWC2,informative,1.051,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q9UG22,informative,1.005,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,P04150,informative,0.987,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q9UEY8,certified,0.946,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P35218,informative,1.111,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q0VGL1,informative,0.983,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q9Y6K0,informative,1.022,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q9BW91,informative,1.015,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P17987,informative,0.973,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,P04000,informative,0.995,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q96GD4,informative,1.060,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q8N142,informative,1.051,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q9BWV1,informative,1.081,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,P42081,certified,0.989,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,P06730,informative,1.062,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q8IYP2,informative,1.029,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q5SZJ8,informative,1.019,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q9UJA5,informative,1.021,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q99613,informative,1.023,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P17927,informative,1.041,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q16787,certified,0.840,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q9UL18,informative,1.017,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,P55957,informative,1.004,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P13639,certified,0.892,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,P79483,informative,0.992,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q9UEY8,informative,0.989,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q3SX64,certified,1.053,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q9H2K0,informative,0.948,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q8N0V5,informative,1.009,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P16284,informative,0.987,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q8WX77,informative,1.009,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q6ZVN8,informative,0.998,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P13631,informative,1.002,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P36873,informative,1.079,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q86TE4,informative,1.019,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q9H694,informative,0.990,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P53567,informative,1.022,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q9UBV8,informative,1.013,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q92935,informative,1.026,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P29474,informative,0.980,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P51161,informative,1.008,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q08043,informative,0.996,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P41252,informative,1.040,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P04080,informative,0.968,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,P35637,informative,1.029,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q8IVV7,certified,1.062,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q96PX1,informative,0.986,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P01106,informative,1.036,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,P35968,certified,1.038,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q9NRP2,informative,1.011,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P02708,informative,0.984,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,P63172,certified,0.901,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P61956,informative,1.098,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q9NZL9,informative,1.094,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q9NU39,informative,1.047,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,O14625,informative,1.025,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q4G0F5,informative,1.012,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q96MS0,informative,0.978,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P22792,informative,0.983,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q96JM7,informative,1.029,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,P10746,informative,0.972,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q7Z407,certified,0.803,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q9BST9,informative,1.064,0.009,NA,NA,0.009,0.017,SomaScan
F/P,O95863,informative,0.995,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q9Y4E8,informative,0.945,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,P61088,informative,1.029,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P09467,certified,0.882,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q93045,informative,1.091,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q9NR21,informative,0.975,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q96JA1,informative,1.030,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q8WVY7,certified,1.269,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q9NQW7,informative,0.943,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P45381,informative,1.027,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P60842,informative,1.028,0.009,NA,NA,0.009,0.017,SomaScan
X/P,O43529,informative,1.017,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q01344,informative,1.062,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q9BZS1,informative,0.998,0.009,NA,NA,0.009,0.017,SomaScan
M/P,O60512,informative,0.993,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q53FV1,informative,1.025,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q8NI32,informative,1.015,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q96P71,certified,0.942,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q15649,informative,0.996,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q92692,informative,1.017,0.009,NA,NA,0.009,0.017,SomaScan
X/P,O75884,informative,1.005,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q9UNA4,informative,1.019,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q8TED9,informative,1.021,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q13185,certified,0.521,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q8WW12,informative,1.023,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q9Y283,informative,1.000,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q14574,informative,0.950,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P78314,informative,1.094,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q9BT22,informative,1.022,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P06850,certified,0.886,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q9HBB8,informative,1.032,0.009,NA,NA,0.009,0.017,SomaScan
F/P,P35579,informative,1.016,0.009,NA,NA,0.009,0.017,SomaScan
Y/P,Q9Y279,informative,1.015,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q9ULK0,certified,1.067,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q7RTV2,informative,1.013,0.009,NA,NA,0.009,0.017,SomaScan
F/P,Q96A26,informative,1.008,0.009,NA,NA,0.009,0.017,SomaScan
X/P,P49914,informative,0.966,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P52756,informative,1.099,0.009,NA,NA,0.009,0.017,SomaScan
M/P,Q9BQ39,informative,1.033,0.009,NA,NA,0.009,0.017,SomaScan
M/P,P0CG37,informative,0.998,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q9Y6A4,informative,0.999,0.009,NA,NA,0.009,0.017,SomaScan
X/P,Q9NRS6,informative,0.965,0.009,NA,NA,0.009,0.017,SomaScan
